Tanggal,Total (Rp),Bulan,Hari_Dalam_Minggu,Apakah_Akhir_Pekan
2025-09-01,7423388,9,0,0
2025-09-02,7600634,9,1,0
2025-09-03,5404572,9,2,0
2025-09-04,3384489,9,3,0
2025-09-05,8404212,9,4,0
2025-09-06,5722471,9,5,1
2025-09-07,5823669,9,6,1
2025-09-08,8754852,9,0,0
2025-09-09,6381505,9,1,0
2025-09-10,3216891,9,2,0
2025-09-11,6021373,9,3,0
2025-09-12,7569877,9,4,0
2025-09-13,4944769,9,5,1
2025-09-14,1753355,9,6,1
2025-09-15,2962752,9,0,0
2025-09-16,7414789,9,1,0
2025-09-17,7543066,9,2,0
2025-09-18,7963790,9,3,0
2025-09-19,6621339,9,4,0
2025-09-20,5225709,9,5,1
2025-09-21,2084654,9,6,1
2025-09-22,7197581,9,0,0
2025-09-23,4054354,9,1,0
2025-09-24,10392680,9,2,0
2025-09-25,4628388,9,3,0
2025-09-26,11166786,9,4,0
2025-09-27,4963046,9,5,1
2025-09-28,7849720,9,6,1
2025-09-29,9040913,9,0,0
2025-09-30,5866664,9,1,0
2025-10-01,5885659,10,2,0
2025-10-02,5935357,10,3,0
2025-10-03,4065689,10,4,0
2025-10-04,2718148,10,5,1
2025-10-05,4525665,10,6,1
2025-10-06,5495683,10,0,0
2025-10-07,6856518,10,1,0
2025-10-08,5519995,10,2,0
2025-10-09,7897895,10,3,0
2025-10-10,9347986,10,4,0
2025-10-11,4870928,10,5,1
2025-10-12,7205299,10,6,1
2025-10-13,9349859,10,0,0
2025-10-14,5455413,10,1,0
2025-10-15,7110197,10,2,0
2025-10-16,8808019,10,3,0
2025-10-17,8714709,10,4,0
2025-10-18,3621836,10,5,1
2025-10-19,6984702,10,6,1
2025-10-20,10731369,10,0,0
2025-10-21,5799435,10,1,0
2025-10-22,12135377,10,2,0
2025-10-23,6258505,10,3,0
2025-10-24,4921741,10,4,0
2025-10-25,7469315,10,5,1
2025-10-26,4796797,10,6,1
2025-10-27,6847262,10,0,0
2025-10-28,4414685,10,1,0
2025-10-29,6779190,10,2,0
2025-10-30,9546411,10,3,0
2025-10-31,5007293,10,4,0
2025-11-01,8824183,11,5,1
2025-11-02,7466612,11,6,1
2025-11-03,12561855,11,0,0
2025-11-04,9467180,11,1,0
2025-11-05,12057313,11,2,0
2025-11-06,7004238,11,3,0
2025-11-07,6980708,11,4,0
2025-11-08,7894679,11,5,1
2025-11-09,9967209,11,6,1
2025-11-10,6267640,11,0,0
2025-11-11,11273771,11,1,0
2025-11-12,5885160,11,2,0
2025-11-13,10730526,11,3,0
2025-11-14,9873036,11,4,0
2025-11-15,6175472,11,5,1
2025-11-16,4848984,11,6,1
2025-11-17,11406168,11,0,0
2025-11-18,6404384,11,1,0
2025-11-19,7180919,11,2,0
2025-11-20,11940119,11,3,0
2025-11-21,6787095,11,4,0
2025-11-22,9880450,11,5,1
2025-11-23,12619344,11,6,1
2025-11-24,7309818,11,0,0
2025-11-25,7481785,11,1,0
2025-11-26,9153339,11,2,0
2025-11-27,6346107,11,3,0
2025-11-28,12530144,11,4,0
2025-11-29,9995583,11,5,1
2025-11-30,9247389,11,6,1
2025-12-01,9692807,12,0,0
2025-12-02,13588004,12,1,0
2025-12-03,11895035,12,2,0
2025-12-04,9302279,12,3,0
2025-12-05,11265989,12,4,0
2025-12-06,7921690,12,5,1
2025-12-07,6341234,12,6,1
2025-12-08,11301218,12,0,0
2025-12-09,12864550,12,1,0
